asset_id,attack,severity,oqi,target_oqi,predicted_attack,confidence,low_quality_patches,low_patch_centers
B341581788502063A0,hole,0.20000000298023224,65.20494079589844,77.50420379638672,hole,0.9804390668869019,1;15;11,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.06040000170469284, 0.013570000417530537, -0.07246000319719315], [0.25543999671936035, 0.00925000011920929, -0.08287999778985977]]"
B341581788502063A0,retriangulate,0.5,58.31697082519531,67.29997253417969,retriangulate,0.9995225667953491,0;10;2,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.2397100031375885, 0.0042500002309679985, -0.09511999785900116], [0.06456000357866287, -0.02304000034928322, 0.29089999198913574]]"
B341581788502063A0,jpeg50,0.5,72.799560546875,71.38345336914062,jpeg50,0.9998950958251953,1;10;9,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.24456000328063965, 0.003640000009909272, -0.09788999706506729], [0.08730000257492065, 0.010739999823272228, -0.14422999322414398]]"
B341581788502063A0,blur1.5,0.5,63.892173767089844,68.20551300048828,blur1.5,0.999908447265625,1;10;9,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.24456000328063965, 0.003640000009909272, -0.09788999706506729], [0.08730000257492065, 0.010739999823272228, -0.14422999322414398]]"
B341581788502063A0,brightness0.55,0.44999998807907104,33.071083068847656,35.94845962524414,brightness0.55,0.9997791647911072,1;10;9,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.24456000328063965, 0.003640000009909272, -0.09788999706506729], [0.08730000257492065, 0.010739999823272228, -0.14422999322414398]]"
B341581788502063A0,downsample32,0.6666666865348816,55.17308807373047,59.669410705566406,downsample32,0.9970178604125977,1;10;9,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.24456000328063965, 0.003640000009909272, -0.09788999706506729], [0.08730000257492065, 0.010739999823272228, -0.14422999322414398]]"
B341581788502063A0,occlusion20,0.20000000298023224,87.89064025878906,71.24657440185547,occlusion20,0.9979531764984131,1;10;9,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.24456000328063965, 0.003640000009909272, -0.09788999706506729], [0.08730000257492065, 0.010739999823272228, -0.14422999322414398]]"
B341581788502063A0,background_shift,0.5,73.37539672851562,75.0,background_shift,0.9999159574508667,1;10;9,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.24456000328063965, 0.003640000009909272, -0.09788999706506729], [0.08730000257492065, 0.010739999823272228, -0.14422999322414398]]"
B341581788502063A0,camera_jitter12,0.5,75.76799011230469,75.0,camera_jitter12,0.9994038343429565,1;10;9,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.24456000328063965, 0.003640000009909272, -0.09788999706506729], [0.08730000257492065, 0.010739999823272228, -0.14422999322414398]]"
B341581788801063A0,connected_crop,0.20000000298023224,69.47208404541016,67.5165023803711,connected_crop,0.7570763826370239,15;7;2,"[[0.03830000013113022, -0.017839999869465828, -0.22519999742507935], [0.2576799988746643, -0.0010900000343099236, 0.12424000352621078], [0.05463000014424324, 0.058469999581575394, 0.28106001019477844]]"
B341581788801063A0,connected_crop,0.4000000059604645,67.51412200927734,57.51795959472656,hole,0.7744132876396179,5;10;2,"[[0.23420999944210052, 0.06569000333547592, 0.10029999911785126], [0.06790000200271606, 0.03531999886035919, -0.0589199997484684], [0.10096000134944916, 0.06456000357866287, 0.295740008354187]]"
B341581788801063A0,hole,0.10000000149011612,90.09196472167969,74.97927856445312,hole,0.9793888926506042,12;6;4,"[[0.19083000719547272, 0.0747700035572052, 0.20674000680446625], [0.2656700015068054, -0.039500001817941666, 0.09516999870538712], [-0.02061999961733818, 0.06768999993801117, 0.013749999925494194]]"
B341581788801063A0,hole,0.20000000298023224,79.09805297851562,70.76715087890625,hole,0.9994893074035645,0;6;2,"[[0.3496299982070923, -0.03465000167489052, -0.10567999631166458], [0.23813000321388245, 0.028710000216960907, 0.08299999684095383], [0.11706999689340591, 0.07320000231266022, 0.31158000230789185]]"
